"fichier";"annee";"type";"sens";"valeur";"valeur_avant";"valeur_apres";"evolution";"evolution_pct";"distance";"contexte"
"4_cri_1969-1970-ordinaire1_050.txt";"1969";"evolution_pct";"accroissement";"6.0";"";"";"";"";"452";"3,5 mil- lions de francs sur celui de 1969 . Il ne s'agit là que d'une valeur absolue. En réalité, si l'on tient compte de l'érosion monétaire et, de ce fait, d 'une augmentation des prix d 'environ 6 p. 100, il aurait fallu une augmentation minimum de 16 millions de francs pour rester au même nivea"
"4_cri_1969-1970-ordinaire1_050.txt";"1969";"evolution_pct";"accroissement";"9.0";"";"";"";"";"350";"er par rapport à 1969, ce qui correspond à une réduc- tion de 7 p . 100. Les dépenses ordinaires ou de fonctionnement sont les seules qui augmentent d'environ 10 p. 100. Leur majoration provient de l'accroissement des crédits consacrés à la sûreté nationale qui absorbe, à elle seule, la moitié de ce"
"4_cri_1970-1971-ordinaire1_023.txt";"1970";"evolution_pct";"accroissement";"39.6";"";"";"";"";"315";"ASSEMBLEE NATIONALE — 2° SEANCE DU 26 OCTOBRE 1970 4719 D'après l'Institut d'émission des départements d'outre-mer a ces importations sont davantages liées à l'élévation du niveau de vie qu'à l'accroissement numérique de la population a. Cette situation est paracioxale. La hausse du niveau de vie qu"
"4_cri_1970-1971-ordinaire1_023.txt";"1970";"evolution_pct";"accroissement";"46.6";"";"";"";"";"369";"ASSEMBLEE NATIONALE — 2° SEANCE DU 26 OCTOBRE 1970 4719 D'après l'Institut d'émission des départements d'outre-mer a ces importations sont davantages liées à l'élévation du niveau de vie qu'à l'accroissement numérique de la population a. Cette situation est paracioxale. La hausse du niveau de vie qu"
"4_cri_1970-1971-ordinaire1_023.txt";"1970";"evolution_pct";"augmentation";"8.0";"";"";"";"";"443";"s collectivités locales en sera renforcé. Je tiens tout spécialement à attirer votre attention sur le fait que, tant pour le budget de fonctionnement que pour le budget d'équipement, le pourcentage d'augmentation est supé- rieur à celui du budget général. Vous savez, par ailleurs, que les divers min"
"4_cri_1970-1971-ordinaire1_065.txt";"1970";"evolution_pct";"hausse";"3.0";"";"";"";"";"353";"et Il du code général des impies, les propriétaires qui cèdent des terrains acquis depuis le 1"" janvier 1959 peuvent appliquer au prix d'acquisition ou à la valeur sle ces terrains, une majoration de 3 p. 100 par année écoulée pendant toute la durée sic détention du bien. Cette disposition, destinée"
"4_cri_1972-1973-ordinaire1_045.txt";"1972";"evolution_pct";"augmentation";"10.3";"";"";"";"";"158";"urd'hui et les commentaires qu'il me parait appeler. Le montant total des crédits inscrits à ce projet de budget est de 379 .062.721 francs. Son augmentation par rapport à l'exercice précédent est de 10,3 p. 100, comparable à celle du budget général . Elle est à peu près également répartie entre les"
"4_qst_4-qst-1969-08-23.txt";"1969";"evolution_pct";"hausse";"5.4";"";"";"";"";"299";"'économie et des finances sur le fait que l 'article 3 de la loi de finances pour 1968, n"" 67.114 du 21 décembre 1967, dispose qu 'à compter du 1"" janvier 1968, lorsque, d'une année sur l 'autre, une hausse supérieure à 5 p . 100 intervient sur l 'indice des 259 articles, le Parlement est saisi de p"
"4_qst_4-qst-1969-09-27.txt";"1969";"evolution_pct";"hausse";"5.4";"";"";"";"";"299";"conomie et des finances sur le fait que l 'article 3 de la loi de finances pour 1968, n"" 67-114 du 21 décembre 1967, dispose qu 'à compter du 1""' janvier 1968, lorsque, d 'une année sur l 'autre, une hausse supérieure à 5 p. 100 intervient sur l 'indice des 259 articles, le Parlement est saisi de pr"
"5_cri_1973-1974-ordinaire1_032.txt";"1973";"evolution_pct";"augmentation";"50.0";"";"";"";"";"194";"l'année 1974, à la gestion et à la nouvelle usine de Pessac. En ce qui concerne les crédits, la commission des finances a observé que les recettes et les .dépenses budgétaires sont en augmentation de 50 p. 100 par rapport à 1973. L'augmentation des recettes provient essentiellement de l'ex- tension "
"5_cri_1973-1974-ordinaire1_032.txt";"1973";"evolution_pct";"augmentation";"12.5";"";"";"";"";"132";"départements d'outre-mer ne s 'améliore guère si l'on excepte certains succès obtenus dans le développement du tourisme. Les crédits progressent de 7,5 p. 100 seulement, ce qui est très inférieur à l'augmentation moyenne des budgets des autres dépar- tements ministériels. Cette augmentation, je n'ai"
"5_cri_1973-1974-ordinaire1_032.txt";"1973";"evolution_pct";"augmentation";"14.0";"";"";"";"";"211";"départements d'outre-mer ne s 'améliore guère si l'on excepte certains succès obtenus dans le développement du tourisme. Les crédits progressent de 7,5 p. 100 seulement, ce qui est très inférieur à l'augmentation moyenne des budgets des autres dépar- tements ministériels. Cette augmentation, je n'ai"
"5_cri_1973-1974-ordinaire1_032.txt";"1973";"evolution_pct";"augmentation";"7.5";"";"";"";"";"131";"érément satisfait. Et pourtant, la situation de nos départements d'outre-mer ne s 'améliore guère si l'on excepte certains succès obtenus dans le développement du tourisme. Les crédits progressent de 7,5 p. 100 seulement, ce qui est très inférieur à l'augmentation moyenne des budgets des autres dépa"
"5_cri_1973-1974-ordinaire1_032.txt";"1973";"evolution_pct";"progression";"5.0";"";"";"";"";"427";"e notre effort est la stabilité de l'ensemble des crédits engagés par les différents ministères techniques. Le total des dépenses civiles, qui s'élève à 2,5 milliards de francs, n'est augmenté que de 5 p. 100. Je remercie le Gouver- - 'minent d'avoir cette année publié l'état récapitulatif de ces dé"
"5_cri_1973-1974-ordinaire1_032.txt";"1973";"evolution_pct";"hausse";"7.5";"";"";"";"";"57";"ions menées au cours des exercices précédents. Une telle publication serait fort utile pour faire connaitre à l'opinion publique d'outre-mer l'ensemble de l'effort métropo- litain. Une progression de 7,5 p. 100 des crédits est modeste et, compte tenu de la hausse des prix, il est à craindre que ce b"
"5_cri_1973-1974-ordinaire1_032.txt";"1973";"evolution_pct";"progression";"7.4";"";"";"";"";"35";"crédits d'intervention permettant d'entreprendre des actions complémentaires que les adminis- trations techniques n'ont pas vocation ou ne sont pas en mesure d'assurer. Ce budget fait apparaître une progression globale des crédits de 7,4 p. 100 seulement, sensiblement inférieure par conséquent à l'a"
"5_cri_1973-1974-ordinaire1_032.txt";"1973";"evolution_pct";"progression";"2.7";"";"";"";"";"497";"crédits d'intervention permettant d'entreprendre des actions complémentaires que les adminis- trations techniques n'ont pas vocation ou ne sont pas en mesure d'assurer. Ce budget fait apparaître une progression globale des crédits de 7,4 p. 100 seulement, sensiblement inférieure par conséquent à l'a"
"5_cri_1973-1974-ordinaire1_032.txt";"1973";"evolution_pct";"progression";"3.5";"";"";"";"";"375";"nt, sensiblement inférieure par conséquent à l'augmentation du budget général, ainsi que cela a été souligné tout à l'heure. Je voudrais présenter deux remarques à ce sujet. La première, c'est que la progression des dépenses ordinaires est de 11,9 p . 100, soit une augmentation supérieure de 1,5 p ."
"5_cri_1974-1975-ordinaire1_046.txt";"1974";"evolution_pct";"augmentation";"29.0";"";"";"";"";"192";"ns de programme sont, elles, en augmentation de près de 10 p . 100. Dans le secteur d'équipement non programmé, l'augmentation la plus sensible concerne l'aide aux collectivités locales, en hausse de 29 p. 100, dont vous avez souligné l 'importance. Quant au secteur programmé par le VI- Plan, il a t"
"5_cri_1974-1975-ordinaire1_046.txt";"1974";"evolution_pct";"augmentation";"9.7";"";"";"";"";"280";"es augmentent de 12 p . 100, les dépen- ses en capital ne s'accroissent que de 6,6 p . 100, taux sensi- blement inférieur au mouvement de hausse des prix tel que le Gouvernement lui-même l'établit, à 9,7 p. 100. Encore faut-il dire qu'en quasi-totalité, l'augmentation ne fait que suivre le service d"
"5_cri_1975-1976-ordinaire1_057.txt";"1975";"evolution_pct";"progression";"8.0";"";"";"";"";"125";". cai elle est . pour une part. endémique et. pour une autre part, fonction de la conjoncture. L'émigration vers la métropole continue . à un rythme à peu près inchangé elle est même en très légère progression. A cet égard. les efforts financiers semblent insuffisants puisque les crédits du Bumidom "
"5_cri_1975-1976-ordinaire1_058.txt";"1975";"evolution_pct";"accroissement";"5.0";"";"";"";"";"29";"tre mer, lors de son dernier voyage aux Antilles, a beaucoup vanté les mesures sociales prises par le Gouvernement . Mais, dans le projet de budget, l'ensemble des avantages sociaux se traduit par un accroissement de dépenses de 5 p. 100 seulement par rapport au budget précédent. En valeur réelle, c"
"5_cri_1976-1977-ordinaire1_062.txt";"1976";"evolution_pct";"réduction";"20.0";"";"";"";"";"351";"nt des transferts d'emplois et de crédits relatifs à la mise en place des nouveaux départements d'outre-mer. Les crédits prévus au titre de l'action sociale — assistance et solidarité — subissent une réduction, passant de 37 millions 100 000 francs à 36 millions et demi. Les budgets des ministères d"
"5_cri_1976-1977-ordinaire1_062.txt";"1976";"evolution_pct";"réduction";"12.0";"";"";"";"";"402";"nt des transferts d'emplois et de crédits relatifs à la mise en place des nouveaux départements d'outre-mer. Les crédits prévus au titre de l'action sociale — assistance et solidarité — subissent une réduction, passant de 37 millions 100 000 francs à 36 millions et demi. Les budgets des ministères d"
"5_cri_1977-1978-ordinaire1_035.txt";"1977";"evolution_pct";"augmentation";"22.0";"";"";"";"";"393";"emploi et que le .problème n'est pas simple. Oh ! bien sûr, vous me répondrez qu'il y a les crédits de chômage cependant, ces crédits ne règlent pas tout. Il est vrai que, nominalement, ils sont en augmentation mais, en pratique, que constate-t-on ? On constate qu'il y a cinq ans, nous pouvions offr"
"5_cri_1977-1978-ordinaire1_035.txt";"1977";"evolution_pct";"réduction";"90.0";"";"";"";"";"362";"commencer par le bail à long terme, les groupements fonciers agricoles, les G . A. E. C. A quels obstacles s'est heurtée la parution du décret tant attendu, et qui vous préoccupe aussi, relatif à la réduction de la cotisation au rôle des marins pêcheurs, afin de protéger cette profession menacée ? D"
"5_cri_1977-1978-ordinaire1_035.txt";"1977";"evolution_pct";"réduction";"20.0";"";"";"";"";"417";"commencer par le bail à long terme, les groupements fonciers agricoles, les G . A. E. C. A quels obstacles s'est heurtée la parution du décret tant attendu, et qui vous préoccupe aussi, relatif à la réduction de la cotisation au rôle des marins pêcheurs, afin de protéger cette profession menacée ? D"
"5_qst_5-qst-1975-07-19.txt";"1975";"evolution_pct";"accroissement";"55.0";"";"";"";"";"372";"public une subvention de 15 francs par élève de quatrième . En ce qui concerne le financement des trans- ports scolaires, la participation de l 'Etat progresse de façon constante comme en témoigne l 'accroissement des crédits ouverts chaque année au budget, qui sont passés de 405 millions de francs "
