"fichier";"annee";"valeur_francs";"unite";"valeur_affichee";"score";"confiance";"densite_doc";"dans_fourchette";"contexte"
"5_cri_1976-1977-ordinaire1_061.txt";"1976";"7000000";"millions";"7.0 millions";"9";"proche";"2";"oui";"r. De même, des actions nouvelles se marquent au titre IV par un crédit de 17 millions de francs destiné à des subventions obligatoires et facultatives aux collectivités locales et par un cré- dit de 7 millions de francs correspondant à la prise en charge du personnel de l'Etat pour l'administration"
"6_cri_1979-1980-ordinaire1_044.txt";"1979";"3943550";"francs";"3943550 F";"9";"proche";"3";"oui";"LEE NATIONALE — 1"" SEANCE DU 31 OCTOBRE 1979 ETAT B Répartition des crédits applicables aux dépenses ordinaires des services civils. (Mesures nouvelles .) e Titre III : 3 391909 francs e Titre IV : 3 943 550 francs . s ETAT C Répartition des autorisations de programme et des crédits de paiement appl"
"4_cri_1968-1969-ordinaire1_050.txt";"1968";"3800000";"francs";"3800000 F";"9";"proche";"16";"oui";".000 francs pour l'application de divers textes concernant les rémunérations ou les avantages sociaux 300.000 francs pour l'ajustement des prestations d'ali- mentation du service militaire adapté 3.800.000 francs pour l'ajustement automatique des subventions de l'Etat aux collec- tivités locales, co"
"6_cri_1979-1980-ordinaire1_044.txt";"1979";"3393000";"francs";"3393000 F";"9";"proche";"3";"oui";"applicables aux dépenses en capital des services civils. (Mesures nouvelles.) TITRE V. — INVESTISSEMENTS EXÉCUTÉS PAR L'ETAT « Autorisations de programme : 4 760 0000 francs e Crédits de paiement : 3 393 000 francs . » TITRE VI . — SUBVENTIONS D'INVESTISSEMENT ACCORDÉES PAR L 'ETAT « Autorisations d"
"4_cri_1968-1969-ordinaire1_050.txt";"1968";"2200000";"francs";"2200000 F";"9";"proche";"16";"oui";"cerne l'année 1968 et les années antérieures. Les dépenses ordinaires progressent de douze millions . Cette progression s'explique, pour 7.200.000 francs, par le jeu des mesures acquises — à savoir : 2.200.000 francs pour l 'extension en année pleine de l'augmentation des rémunérations appli- cable "
"6_cri_1979-1980-ordinaire1_044.txt";"1979";"1500000";"million";"1.5 million";"9";"proche";"3";"oui";"En revanche, nous devons, une fois de plus, regretter la pro- gression insuffisante de certains crédits de fonctionnement. L'ajustement des dotations affectées au Bumidom entraîne une augmentation de 1,5 million de francs . Cette progression sera- t-elle suffisante pour faire face aux tâches sans ce"
"4_cri_1968-1969-ordinaire1_050.txt";"1968";"1050000";"francs";"1050000 F";"9";"proche";"16";"oui";"te. J'en arrive maintenant aux crédits d'équipement . Les crédits de paiement du secrétariat d 'Etat progressent de 9.650.000 francs par rapport à 1968, et les autorisations de programme diminuent de 1.050.000 francs. Il faut noter que les crédits d'équipement destinés à la sûreté nationale aug- men"
"6_cri_1979-1980-ordinaire1_044.txt";"1979";"391909";"francs";"391909 F";"9";"proche";"3";"non";"d'outre-mer a . 9252 ASSEMBLEE NATIONALE — 1"" SEANCE DU 31 OCTOBRE 1979 ETAT B Répartition des crédits applicables aux dépenses ordinaires des services civils. (Mesures nouvelles .) e Titre III : 3 391909 francs e Titre IV : 3 943 550 francs . s ETAT C Répartition des autorisations de programme et d"
"5_cri_1973-1974-ordinaire1_032.txt";"1973";"942";"francs";"942 F";"9";"proche";"3";"non";".) M. le président. J'appelle maintenant les crédits du budget annexe des Monnaies et médailles. Personne ne demande la parole? Je mets aux voix les crédits ouverts à l'article 23, au chiffre de 106 .942.003 francs. (Ces crédits sont adoptés .) M . le président. Je mets aux voix les autorisations de"
"4_cri_1968-1969-ordinaire1_050.txt";"1968";"900";"francs";"900 F";"9";"proche";"16";"non";"'explique, pour 7.200.000 francs, par le jeu des mesures acquises — à savoir : 2.200.000 francs pour l 'extension en année pleine de l'augmentation des rémunérations appli- cable au 1"" février 1968 900.000 francs pour l'application de divers textes concernant les rémunérations ou les avantages socia"
