"Année";"Documents";"Occurrences"
"1964";"2";"61"
"1966";"1";"5"
"1967";"1";"23"
"1968";"2";"17"
"1969";"5";"111"
"1970";"4";"126"
"1971";"3";"62"
"1972";"3";"81"
"1973";"3";"35"
"1974";"3";"58"
"1975";"6";"92"
"1976";"4";"38"
"1977";"2";"29"
"1978";"7";"109"
"1979";"6";"94"
"1980";"2";"73"
"1981";"4";"39"
"1982";"1";"4"
"1983";"2";"9"
"1984";"2";"11"
"1985";"2";"10"
"1986";"5";"45"
"1987";"1";"5"
