"Année";"Documents";"Occurrences"
"1964";"2";"80"
"1966";"1";"13"
"1967";"1";"29"
"1968";"2";"56"
"1969";"5";"241"
"1970";"4";"77"
"1971";"3";"137"
"1972";"3";"204"
"1973";"3";"147"
"1974";"3";"131"
"1975";"6";"200"
"1976";"4";"108"
"1977";"2";"70"
"1978";"7";"364"
"1979";"6";"470"
"1980";"2";"117"
"1981";"4";"147"
"1982";"1";"11"
"1983";"2";"31"
"1984";"2";"29"
"1985";"2";"41"
"1986";"5";"90"
"1987";"1";"19"
