"Année";"Documents";"Occurrences"
"1964";"2";"158"
"1966";"1";"83"
"1967";"1";"194"
"1968";"2";"156"
"1969";"5";"596"
"1970";"4";"1250"
"1971";"3";"427"
"1972";"3";"777"
"1973";"3";"346"
"1974";"3";"590"
"1975";"6";"991"
"1976";"4";"485"
"1977";"2";"548"
"1978";"7";"1189"
"1979";"6";"456"
"1980";"2";"718"
"1981";"4";"414"
"1982";"1";"216"
"1983";"2";"185"
"1984";"2";"128"
"1985";"2";"155"
"1986";"5";"365"
"1987";"1";"42"
