"Année";"Documents";"Occurrences"
"1964";"2";"113"
"1966";"1";"34"
"1967";"1";"83"
"1968";"2";"92"
"1969";"5";"111"
"1970";"4";"85"
"1971";"3";"103"
"1972";"3";"89"
"1973";"3";"81"
"1974";"3";"79"
"1975";"6";"121"
"1976";"4";"97"
"1977";"2";"74"
"1978";"6";"141"
"1979";"6";"140"
"1980";"2";"73"
"1981";"4";"82"
"1982";"1";"22"
"1983";"2";"136"
"1984";"2";"65"
"1985";"2";"3"
"1986";"5";"162"
"1987";"1";"31"
