"Année";"Documents";"Occurrences"
"1964";"2";"59"
"1966";"1";"11"
"1967";"1";"54"
"1968";"2";"58"
"1969";"5";"210"
"1970";"4";"87"
"1971";"3";"71"
"1972";"3";"92"
"1973";"3";"81"
"1974";"3";"28"
"1975";"6";"125"
"1976";"4";"85"
"1977";"2";"33"
"1978";"6";"125"
"1979";"4";"25"
"1980";"2";"44"
"1981";"4";"72"
"1982";"1";"7"
"1983";"2";"44"
"1984";"2";"33"
"1985";"2";"32"
"1986";"5";"78"
"1987";"1";"6"
