"Année";"Documents";"Occurrences"
"1964";"2";"257"
"1966";"1";"131"
"1967";"1";"189"
"1968";"2";"202"
"1969";"4";"100"
"1970";"4";"202"
"1971";"3";"156"
"1972";"3";"223"
"1973";"2";"139"
"1974";"3";"159"
"1975";"6";"251"
"1976";"4";"209"
"1977";"2";"100"
"1978";"5";"39"
"1979";"6";"296"
"1980";"2";"15"
"1981";"4";"158"
"1982";"1";"70"
"1983";"1";"60"
"1984";"2";"64"
"1985";"2";"16"
"1986";"5";"241"
"1987";"1";"42"
