"Année";"Documents";"Occurrences"
"1964";"2";"474"
"1966";"1";"206"
"1967";"1";"364"
"1968";"2";"383"
"1969";"5";"520"
"1970";"4";"427"
"1971";"3";"342"
"1972";"3";"432"
"1973";"3";"461"
"1974";"3";"494"
"1975";"6";"782"
"1976";"4";"609"
"1977";"2";"322"
"1978";"7";"477"
"1979";"6";"718"
"1980";"2";"172"
"1981";"4";"564"
"1982";"1";"267"
"1983";"2";"196"
"1984";"2";"175"
"1985";"2";"108"
"1986";"5";"913"
"1987";"1";"188"
