"Année";"Documents";"Occurrences"
"1964";"2";"43"
"1966";"1";"14"
"1967";"1";"27"
"1968";"2";"47"
"1969";"5";"110"
"1970";"4";"116"
"1971";"3";"60"
"1972";"3";"60"
"1973";"3";"63"
"1974";"3";"76"
"1975";"6";"166"
"1976";"4";"44"
"1977";"2";"51"
"1978";"7";"119"
"1979";"6";"89"
"1980";"2";"70"
"1981";"4";"76"
"1982";"1";"31"
"1983";"2";"25"
"1984";"2";"31"
"1985";"2";"19"
"1986";"5";"111"
"1987";"1";"16"
