"Année";"Documents";"Occurrences"
"1964";"2";"406"
"1966";"1";"179"
"1967";"1";"208"
"1968";"2";"319"
"1969";"5";"759"
"1970";"4";"528"
"1971";"3";"348"
"1972";"3";"343"
"1973";"3";"622"
"1974";"3";"584"
"1975";"6";"967"
"1976";"4";"677"
"1977";"2";"288"
"1978";"7";"1231"
"1979";"6";"917"
"1980";"2";"306"
"1981";"4";"377"
"1982";"1";"363"
"1983";"2";"240"
"1984";"2";"233"
"1985";"2";"157"
"1986";"5";"408"
"1987";"1";"226"
