fichier;annee;valeur_francs;unite;contexte
5_cri_1975-1976-ordinaire1_038.txt;1975;1186468718;francs;ticle 74. (L'article 74 est adopté.) BUDGET ANNEXE DES ESSENCES M . le président. J 'appelle maintenant les crédits du budget annexe des essences. Personne ne demande la parole ? ... Je mets aux voix les crédits ouverts à l'article 32, au chiffre de 1 186 468 718 francs. (Ces crédits sont adoptés.) M. le président. Je mets aux voix les autorisations de pro- gramme inscrites au paragraphe I de l 'article 33, au titre des mesures nouvelles, au chiffre de 45 850 000 francs. (Ces autorisations de pr
5_cri_1976-1977-ordinaire1_061.txt;1976;1113700000;francs;"AR L'ETAT e Autorisations de programme : 161 890 000 francs; « Crédits de paiement : 57 313 000 francs . a TITRE VI . — SUBVENTIONS D ' INVESTISSEMENT ACCORDÉES PAR L'ETAT e Autorisations de programme : 1 687 030 000 francs ; « Crédits de paiement : 1 113 700 000 francs. Personne ne demande la parole ? . .. Je mets aux voix le titre III. (Le titre III est adopté .) M. le président. Sur le titre IV, la parole est à M. Duroure. M . Roger Duroure . Monsieur le ministre d'Etat, au terme de ce débat,"
6_cri_1978-1979-ordinaire1_050.txt;1978;1016444000;francs;"torisations de programme et des crédits de paiement applicables aux dépenses en capital des services ciel (mesures nouvelles). TITRE V. — INVESTISSEMENTS EXÉCUTÉS PAR L'ETAT « Autorisations de programme, 1 515 675 000 francs ; s Crédits de paiement, 1 016 444 000 francs, » TITRE VI. — SUBVENTIONS D'INVESTISSEMENT ACCORDÉES PAR L ' ETAT e Autorisations de programme, 17 625 000 francs ; e Crédits de paiement, 10 275 000 francs . » Personne ne demande la parole sur le titre III ? ... Je mets aux vo"
6_cri_1978-1979-ordinaire1_050.txt;1978;968806000;francs;"AR L ' ETAT • Autorisations de programme, 120 970 000 francs ; « Crédits de paiement, 57 315 000 francs . e TITRE VI. — SUBVENTIONS D ' INVESTISSEMENT ACCORDÉES PAR L ' ETAT e Autorisations de programme, 1 415 260 000 francs ; « Crédits de paiement, 968 806 000 francs. s Je mets aux voix le titre III. M. le ministre des transports. Je demande un scrutin public. (Mouvements divers sur les bancs des socialistes et des commu- nistes.) M. le président. Je suis saisi par le Gouvernement d'une demande"
5_cri_1974-1975-ordinaire1_046.txt;1974;751738232;francs;ocialiste également. (Ce titre est adopté .) ESSENCES ET POUDRES M. le président. J'appelle maintenant les crédits du budget annexe des essences. Personne ne demande la parole ? . .. Je mets aux voix les crédits ouverts à l'article 27, au chiffre de 751 738 232 francs. (Ces crédits sont adoptés .) M. le président. Je mets aux voix les autorisations de pro- gramme inscrites au paragraphe I de l'article 28, au titre des mesures nouvelles, au chiffre de 44 300 000 francs. (Ces autorisations de prog
5_cri_1977-1978-ordinaire1_048.txt;1977;728757011;francs;sociaux.) M. le président. J'appelle maintenant les crédits inscrits à la ligne e Travail et santé. — I : Section commune ». ETAT B Répartition des crédits applicables aux dépenses ordinaires des services civils (mesures nouvelles). c TITRE III : — 728 757 011 francs. ETAT C Répartition des autorisations de programme et des crédits de paiement applicables aux dépenses en capital des services civils (mesures nouvelles). TITRE V. — INVESTISSEMENTS EXÉCUTÉS PAR L ' ETAT c Autorisations de programm
6_cri_1979-1980-ordinaire1_032.txt;1979;556761000;francs;"'BTAT « Autorisations de programme : 2 987 000 000 francs ; « Crédits de paiement : 1 802 802 000 francs.» TITRE VI. — SUBVENTIONS D 'INVESTISSEMENT ACCORDÉES PAR L ' ETAT « Autorisations de programme : 2 646 625 000 francs ; « Crédits de paiement : 556 761 000 francs. » ETAT D Autorisations d'engagement accordées pa r anticipation sur les crédits à ouvrir en 1981. TITRE III IV. — Transports intérieurs. e Chap. 35-42. — Routes et circulation routière. — Entretien et exploitation : 15 millions de"
6_cri_1979-1980-ordinaire1_032.txt;1979;455000000;F;ux voix le titre III de l'état D. (Le titre III est adopté .) Article 56. M. le président. J'appelle maintepant l'article 56 rattaché à ce budget: s Art. 56. — La subvention prévue à l'article 66 de la loi de finances pour 1972 est fixée pour 1980 à 455 000 000 F dans l'hypothèse d 'un déclassement de la totalité du réseau national secondaire autorisé par ce texte . s La parole est à M . le ministre des transports . 8842 ASSEMIBLEE NATIONALE — S• M. le ministre des transports . L'article 56 cor
5_cri_1974-1975-ordinaire1_046.txt;1974;423039366;francs;u titre des mesures nouvelles, au chiffre de 44 300 000 francs. (Ces autorisations de programme sont adoptées .) M. le président . Je mets aux voix les crédits ouverts au para- graphe II de l'article 28, au titre des mesures nouvelles, au chiffre de 423 039 366 francs. (Ces crédits sont adoptés .) M. le président . J'appelle maintenant les crédits du budget annexe des poudres. Personne ne demande la parole ? . .. Je mets aux voix les crédits ouverts à l'article 27, au chiffre de 279 585 997 fran
7_cri_1984-1985-ordinaire1_039.txt;1984;350604000;francs;uvelles). TITRE V . — INVESTISSEMENTS EXÉCUTÉS PAR L' ETAT s Autorisations de programme : 39 316 000 francs. « Crédits de paiement : 23 590 000 francs. s TITRE VI . — SUBVENTIONS D ' INVESTISSEMENT ACCORDÉES PAR L'ETAT « Autorisations de programme : 350 604 000 francs. Crédits de paiement : 159 530 000 frimai., Je mets aux voix la réduction de crédits du titre IV. (La réduction de crédits est adoptée .) M. le président. Je mets aux voix les autorisations de pro- gramme et les crédits de paiement
