fichier;annee;pourcentage;contexte
2_cri_1966-1967-ordinaire1_021.txt;1966;17;satisfaction de besoins sans cesse accrus soit sim- plement maintenu entre 1966 et 1970, avait été fixé, au terme d'études très poussées, à 10 milliards de francs. En proposant 9,306 milliards de francs, le Gouvernement a donc accepté que seulement 17 % des besoins soient satisfaits dans les cinq années à venir. D 'autre part, il s 'est situé au-dessous de l'hypothèse de stagnation. Fait plus grave encore — et mon collègue, M . Yvon, l'a souligné — les autorisations de programme ne corresponden
2_cri_1966-1967-ordinaire1_021.txt;1966;5;fin de plan les dotations seraient plus élevées . Vous l'avez fait, je dois le souligner, sans grande conviction et vous ne nous avez pas rassurés. Parallèlement, le Gouvernement a décidé que l'augmentation du prix de journée ne devait pas dépasser 5 p. 100. Lorsque l'on sait ce qu'il en est en matière d'amortissements, de trésorerie, de travaux d'entretien, de besoins en personnel, d'adaptation à l'évolution des techniques, l'on est conduit à penser qu'un choix cruel, voire impossible, devra i
2_cri_1966-1967-ordinaire1_021.txt;1966;29.5;"us sera subventionnée pour un montant de 2,18 milliards de francs, ainsi çue je viens de l'indiquer. Ce qui correspond, dans l'hypo- thèse considérée, aux taux de subvention suivants, en sérieux recul sur les plans précédents : pour les C . H. U . : 29,5 p. 100, contre 40,6 p. 100 antérieurement ; pour les hôpitaux non C.H.U. et les hospices : 26,9 p. 100, contre 37 p. 100 antérieurement ; pour les établissements psychiatriques : 33,5 p. 100, contre 45,6 p. 100 antérieurement ; pour les autres é"
2_cri_1966-1967-ordinaire1_021.txt;1966;40.6;"e pour un montant de 2,18 milliards de francs, ainsi çue je viens de l'indiquer. Ce qui correspond, dans l'hypo- thèse considérée, aux taux de subvention suivants, en sérieux recul sur les plans précédents : pour les C . H. U . : 29,5 p. 100, contre 40,6 p. 100 antérieurement ; pour les hôpitaux non C.H.U. et les hospices : 26,9 p. 100, contre 37 p. 100 antérieurement ; pour les établissements psychiatriques : 33,5 p. 100, contre 45,6 p. 100 antérieurement ; pour les autres établissements sani-"
2_cri_1966-1967-ordinaire1_021.txt;1966;26.9;"uer. Ce qui correspond, dans l'hypo- thèse considérée, aux taux de subvention suivants, en sérieux recul sur les plans précédents : pour les C . H. U . : 29,5 p. 100, contre 40,6 p. 100 antérieurement ; pour les hôpitaux non C.H.U. et les hospices : 26,9 p. 100, contre 37 p. 100 antérieurement ; pour les établissements psychiatriques : 33,5 p. 100, contre 45,6 p. 100 antérieurement ; pour les autres établissements sani- taires : 31,2 p. 100, contre 41 p. 100 antérieurement. Les moyens de finance"
2_cri_1966-1967-ordinaire1_021.txt;1966;37;"nd, dans l'hypo- thèse considérée, aux taux de subvention suivants, en sérieux recul sur les plans précédents : pour les C . H. U . : 29,5 p. 100, contre 40,6 p. 100 antérieurement ; pour les hôpitaux non C.H.U. et les hospices : 26,9 p. 100, contre 37 p. 100 antérieurement ; pour les établissements psychiatriques : 33,5 p. 100, contre 45,6 p. 100 antérieurement ; pour les autres établissements sani- taires : 31,2 p. 100, contre 41 p. 100 antérieurement. Les moyens de financement envisagés par l"
2_cri_1966-1967-ordinaire1_021.txt;1966;33.5;"en sérieux recul sur les plans précédents : pour les C . H. U . : 29,5 p. 100, contre 40,6 p. 100 antérieurement ; pour les hôpitaux non C.H.U. et les hospices : 26,9 p. 100, contre 37 p. 100 antérieurement ; pour les établissements psychiatriques : 33,5 p. 100, contre 45,6 p. 100 antérieurement ; pour les autres établissements sani- taires : 31,2 p. 100, contre 41 p. 100 antérieurement. Les moyens de financement envisagés par la commission — je ne dis pas arrêtés et c'est ce qui est grave — ser"
2_cri_1966-1967-ordinaire1_021.txt;1966;45.6;"les plans précédents : pour les C . H. U . : 29,5 p. 100, contre 40,6 p. 100 antérieurement ; pour les hôpitaux non C.H.U. et les hospices : 26,9 p. 100, contre 37 p. 100 antérieurement ; pour les établissements psychiatriques : 33,5 p. 100, contre 45,6 p. 100 antérieurement ; pour les autres établissements sani- taires : 31,2 p. 100, contre 41 p. 100 antérieurement. Les moyens de financement envisagés par la commission — je ne dis pas arrêtés et c'est ce qui est grave — seraient subventions de"
2_cri_1966-1967-ordinaire1_021.txt;1966;31.2;"00 antérieurement ; pour les hôpitaux non C.H.U. et les hospices : 26,9 p. 100, contre 37 p. 100 antérieurement ; pour les établissements psychiatriques : 33,5 p. 100, contre 45,6 p. 100 antérieurement ; pour les autres établissements sani- taires : 31,2 p. 100, contre 41 p. 100 antérieurement. Les moyens de financement envisagés par la commission — je ne dis pas arrêtés et c'est ce qui est grave — seraient subventions de l'Etat : 2,18 milliards de francs ; sécurité sociale 0,97 milliard de fran"
2_cri_1966-1967-ordinaire1_021.txt;1966;41;"pour les hôpitaux non C.H.U. et les hospices : 26,9 p. 100, contre 37 p. 100 antérieurement ; pour les établissements psychiatriques : 33,5 p. 100, contre 45,6 p. 100 antérieurement ; pour les autres établissements sani- taires : 31,2 p. 100, contre 41 p. 100 antérieurement. Les moyens de financement envisagés par la commission — je ne dis pas arrêtés et c'est ce qui est grave — seraient subventions de l'Etat : 2,18 milliards de francs ; sécurité sociale 0,97 milliard de francs ; cession de bien"
