"fichier";"annee";"nature";"valeur";"score";"confiance";"contexte"
"4_cri_1968-1969-ordinaire1_050.txt";"1968";"personnel";"4255.0";"4";"moyen";"e qu'une certaine accoutumance au confort moderne incite à rechercher des logements neufs. Par ailleurs, les coûts de construction ont subi une hausse notable, due en grande partie aux majorations de salaires SEANCE DU 9 NOVEMBRE IUûS 4255 je souhaite que les bénéficiaires de ces majorations prennen"
"4_cri_1968-1969-ordinaire1_050.txt";"1968";"fonctionnement";"250.0";"7";"proche";"ée de l'aménagement d'ensemble des zones touristiques et d'un effort de prospection et de promotion de la clientèle. Mais l'exiguïté du crédit inscrit au budget des charges com- munes de 1969 pour le fonctionnement de cette mission — 250.000 francs seulement — la condamne à l'impuissance . J'es- tim"
"4_cri_1968-1969-ordinaire1_050.txt";"1968";"fonctionnement";"1969.0";"6";"moyen";"i va me permettre d'améliorer les conditions de travail dans les départements d'outre-mer. Je voudrais maintenant analyser rapidement le budget des départements d 'outre-mer pour 1969. Les crédits de fonctionnement prévus pour 1969 atteindront environ 131 millions, soit 12 millions de plus que l'an "
"4_cri_1968-1969-ordinaire1_050.txt";"1968";"investissement";"1968.0";"4";"moyen";"i bien dans le domaine de l'aide aux promoteurs que dans celui des infrastructures, de la publicité et de la propagande, conjugués avec des réformes réglementaires — créa- tion d'une prime spéciale d'équipement hôtelier par décret du 30 mai 1968, projet d'extension des trois jeux américains à la lis"
"4_cri_1968-1969-ordinaire1_050.txt";"1968";"investissement";"1969.0";"6";"moyen";"e francs pour l'ensei . gnement secondaire et dix millions et demi pour l'enseigne- ment supérieur. Par contre, le ministère des affaires sociales, qui a accusé un certain retard dans le domaine de l'équipement sanitaire, affectera, en 1969, 18 millions de francs aux construc- tions hospitalières, c"
"4_cri_1968-1969-ordinaire1_050.txt";"1968";"investissement";"8500000.0";"6";"moyen";"lors de la discussion de ce projet de budget devant la commission des finances, j'avais souligné l'importance que revèt pour l'Office, dans les trois premières années d'exécution du Plan, un effort d'équipement évalué à 8.500.000 francs . Certes, vous me direz, monsieur le secrétaire d'Etat, que vou"
"4_cri_1968-1969-ordinaire1_050.txt";"1968";"investissement";"1968.0";"7";"proche";"e et sous la responsabilité finale du Premier ministre, ce qui constitue une promotion des départements d 'outre-mer. C'est ainsi que le montant des crédits programmés par le F. I. D. O. M. — fonds d'investissement spécifique à ces régions — atteint, en fin 1968, 55 p . 100 des prévisions pour les q"
"4_cri_1968-1969-ordinaire1_050.txt";"1968";"investissement";"1965.0";"5";"moyen";"' il n'envisage pas de remettre en vigueur, pendant un délai d 'un an, les dispositions de l 'ordonnance du 15 juin 1945 susvisée. 2207. — 9 novembre 1968. — M. Massot rappelle à M. le ministre de l 'équipement et du logement que l 'article 2 de la loi n"" 65-556 du 10 juillet 1965 édicte que le prix"
"4_cri_1968-1969-ordinaire1_050.txt";"1968";"subvention";"200.0";"9";"proche";"s par rapport à 1968, et les autorisations de programme diminuent de 1.050.000 francs. Il faut noter que les crédits d'équipement destinés à la sûreté nationale aug- mentent de 150 .000 francs et les subventions aux constructions publiques de 200.000 francs, représentant la participation de l'Etat p"
"4_cri_1968-1969-ordinaire1_050.txt";"1968";"subvention";"1969.0";"6";"moyen";"doivent permettre de poursuivre, dans différents secteurs économiques et sociaux, certaines actions qui me paraissent essentielles et dont je veux tout de même donner un bref aperçu. Sur le plan de l'aide à la production agricole, le budget de 1969 s'efforce de concilier l'expansion générale prévue "
"4_cri_1968-1969-ordinaire1_050.txt";"1968";"logement";"1965.0";"5";"moyen";"as de remettre en vigueur, pendant un délai d 'un an, les dispositions de l 'ordonnance du 15 juin 1945 susvisée. 2207. — 9 novembre 1968. — M. Massot rappelle à M. le ministre de l 'équipement et du logement que l 'article 2 de la loi n"" 65-556 du 10 juillet 1965 édicte que le prix de vente est éga"
"4_cri_1969-1970-ordinaire1_050.txt";"1969";"fonctionnement";"2500000.0";"7";"proche";"sider à l'élaboration du budget. J'ai néanmoins obtenu une mesure exceptionnelle, sous la forme d 'un crédit supplémentaire de 4.400.000 francs, dont 1.800.000 francs ont été affectés à la section de fonctionnement et 2.500.000 francs au fonds d'investissement. Les crédits de fonctionnement prévus p"
"4_cri_1969-1970-ordinaire1_050.txt";"1969";"fonctionnement";"1970.0";"7";"proche";"lle, sous la forme d 'un crédit supplémentaire de 4.400.000 francs, dont 1.800.000 francs ont été affectés à la section de fonctionnement et 2.500.000 francs au fonds d'investissement. Les crédits de fonctionnement prévus pour 1970 atteignent donc 140.398.088 francs, contre 127.839.095 francs en 196"
"4_cri_1969-1970-ordinaire1_050.txt";"1969";"investissement";"146565000.0";"7";"proche";"légèrement inférieure à 10 p. 100, permettra la poursuite des principales actions entreprises en faveur des départements, notamment dans le domaine de l'aide aux collectivités locales. Les crédits d'investissement s'établiront, en autorisations de programme, à 146.565.000 francs en 1970, contre 156."
"4_cri_1970-1971-ordinaire1_023.txt";"1970";"subvention";"1970.0";"5";"moyen";"ns, conformément à la demande for- mulée par la commission des lois, de a mise en oeuvre du nouveau régime des prestations à compter do 1' janvier 1970. Suivant ces modalités, au 1"" janvier 1971, les allocations versées se ront donc le double de celles de 1970 pour atteindre leur plafond au 1 janvie"
"4_cri_1970-1971-ordinaire1_023.txt";"1970";"subvention";"1970.0";"6";"moyen";"constituent les primes d'équipement et d'emploi, les exonérations fiscales et les prêts à des conditions très avantageuses. Bien qu'il ne soit pas npssible de faire le bilan définitif et complet des aides octroyées pendant l'année 1970 à l'industrialisation, il convient de noter que, pour les (oit p"
"4_cri_1970-1971-ordinaire1_023.txt";"1970";"subvention";"820.0";"6";"moyen";"és par le service militaire adapté au profit des collec- tivités locales. Les mesures nouvelles concernent aussi les migrations qui, avec 1 .300.000 francs, pourront atteindre 9.500 personnes, et les subventions aux collectivités locales, avec un complément de 820.000 francs. Dans les dépenses en ca"
"4_cri_1970-1971-ordinaire1_023.txt";"1970";"subvention";"1952.0";"6";"moyen";"n qu'il faut repenser com- plètement, si je puis dire, les public relations de nos départe- ments, dont le monde des investisseurs, en France ou à l'étran- ger, connaît mal le profil. Le système de l'aide, des exonérations fiscales et des incita- tions, qui date de 1952, est peut-être insuffisant. A"
"4_cri_1970-1971-ordinaire1_065.txt";"1970";"subvention";"1971.0";"7";"proche";"é équitable, dans des cas très spéciaux de permettre aux pays de la Communauté ayant déjà engagé des crédits nationaux avant le 1"" mai 1970 pour la plantation de vergers d'utiliser le reliquat de ces aides jusqu 'au t""' mai 1971, date limite. Abattoirs. 14139. — M. itinsberger rappelle à M. le minis"
"4_cri_1970-1971-ordinaire1_065.txt";"1970";"subvention";"1971.0";"5";"moyen";"elles plantations de vergers, il n 'est pas exact de dire qu'elles sont allouées par la Communauté en effet le règlement de Bruxelles sur l 'assainisse- ment du verger communautaire prévoit que les aides nationales aux plantations nouvelles ne peuvent être octroyées au-delà de mai 1971 et qu 'entre "
"4_cri_1970-1971-ordinaire1_065.txt";"1970";"logement";"1938.0";"6";"moyen";"e de l'économie et des finances que, dans le cadre des mesures transitoires prises à l 'occasion des relèvements de taux ale T.V.A. intervenus en 1968, il a été admis que les livraisons à soi-même de logements réalisés par les sociétés régies par la loi du 28 juin 1938 sont imposées aux anciens taux"
"4_cri_1970-1971-ordinaire2_007.txt";"1970";"personnel";"1968.0";"4";"moyen";"ise pour renforcer l'exploitation de l'ensemble des tra- vailleurs. A travail égal et à qualification professionnelle égale, le salaire féminin reste très inférieur à celui de l'homme . L'écart entre salaires féminins et masculins, même après mai-juin 1968, est supérieur à 35 p . 100. Deux travaille"
"4_cri_1971-1972-ordinaire1_024.txt";"1971";"personnel";"1946.0";"8";"proche";"om, s'il s'occupe, certes, de placer rend maintenant urgente. ces jeunes, devrait également se préoccuper de leurs conditions La priorité nécessairement accordée au développement social de travail, de rémunérations et, bien entendu — car c'est le lors de l'application de la loi de 1946, et renforcée"
"4_cri_1971-1972-ordinaire1_024.txt";"1971";"fonctionnement";"1970.0";"7";"proche";"ite en francs constants 1971. L'augmentation proportions qu'en 1972. réelle est donc de 115 p. 100 en sept ans et, rapportés au bud- Avec cette dotation, le pourcentage d'exécution du Plan sera get de fonctionnement de mon ministère pour 1970, les trans- de l'ordre de 33 p. 100 en deux ans. Il s'ins"
"4_cri_1971-1972-ordinaire1_024.txt";"1971";"subvention";"1971.0";"5";"moyen";"ds, monsieur le ministre, on les comprend de moins épanouissement qui commence, là plus que partout ailleurs, par en moins. l'obtention d'un emploi. Le second point de ma brève intervention concerne l'aide à Des décisions importantes ont été prises, en 1971, pour faire apporter aux agriculteurs vict"
"4_cri_1971-1972-ordinaire1_024.txt";"1971";"formation";"1975.0";"6";"moyen";"rvice production dans les départements d'outre-mer. Les prévisions militaire adapté s'acquitte bien de sa double mission : déve- auxquelles an s'est arrêté pour les trois principaux produits lopper la formation civique, scolaire et professionnelle des ne paraissent pas hors d'atteinte en 1975, bien "
"4_cri_1971-1972-ordinaire1_024.txt";"1971";"transport";"1964.0";"5";"moyen";"me signifiant pays, on peut imaginer la dimension du désastre dans certains que la politigue engagée il y a plus de dix ans par le général secteurs du Sud et de l'Ouest. de Gaulle, accentuée après son voyage aux Antilles en 1964, Je n'ignore pas que les services locaux et les vôtres, monsieur le min"
"4_cri_1972-1973-ordinaire1_045.txt";"1972";"fonctionnement";"1973.0";"6";"moyen";"s mesures d'austérité et je ne considère pas que nous ayons pris une part plus importante que les autres dans cet effort. Mais il nous faut pousser plus loin l'analyse. On peut constater que, tant en fonctionnement qu'en équipe- ment, le projet de budget pour l'exercice 1973 prend en compte l'incide"
"4_cri_1972-1973-ordinaire1_063.txt";"1972";"subvention";"1240.0";"8";"proche";"l'article 2, mod 'ié par les amendements n"" 1 et 6. (L'article 2, ainsi modifié, est adopté .) Article 3. M. le président. e Art. 3. — La prime de mobilité ne peut être accordée aux bénéficiaires des aides établies en applica- tion de la loi n"" 63-1240 du 18 décembre 1963 dative au Fonds national de"
