fichier;valeur;unite;contexte
4_cri_1972-1973-ordinaire1_063.txt;5547;place;"A travers le Bumidom, des mesures vigoureuses, qui ont apporté une certaine amélioration, ont été prises en faveur des migrants : information, formation et sélection professionnelle ; ASSEMBLEE NATIONALE — SEANCE DU 21 NOVEMBRE 1972 5547 placements et implantations à caractère familial avec prêts d'"
3_cri_1967-1968-ordinaire1_037.txt;543;lits;"M dispose en transit de 220 lits ; 543 lits sont à sa disposition dans des foyers de jeunes travailleurs."
3_cri_1967-1968-ordinaire1_037.txt;234;logements;A ces chiffres s'ajoutent 234 logements Il .
3_cri_1967-1968-ordinaire1_037.txt;220;lits;"M dispose en transit de 220 lits ; 543 lits sont à sa disposition dans des foyers de jeunes travailleurs."
3_cri_1967-1968-ordinaire1_037.txt;86;logements;En 1965, 86 logements 11 .
