fichier;annee;nombre;unite;contexte
7_cri_1984-1985-ordinaire1_080.txt;1984;650000;habitants;"au ne peut être créé dans les conditions et dans les circonstances présentes. Ensuite il y a une augmentation brutale de la population. Avec l'arrêt de la mobilité, quelles sont les perspectives ? Avant cinq ans : 600 000 habitants : avant dix ans : 650 000 habitants; dans quinze ans : plus de 700 000 habitants . Compte tenu des possibilités de développement économique, c'est le draine certain, d'autant plus que les équipements d'Etat seront insuffisants et qu'il faudra non seulement en matière"
5_cri_1974-1975-ordinaire1_046.txt;1974;606000;personnes;: la formation professionnelle, la réforme fon- cière et la situation financière des communes d'outre-mer. En ce qui concerne la formation professionnelle, quelques chiffres éloquents soulignent l'importance de l'action à mener en cette matière. Sur 606 000 personnes ayant plus de dix-huit ans on comptait, en 1973, 289 000 actifs ayant un emploi régu- lier, 52 890 chômeurs partiels ou occasionnels, 41 190 chômeurs totaux et 221 500 inactifs ne cherchant pas d'emploi. 6222 ASSEMBLEE NATIONALE —
7_cri_1984-1985-ordinaire1_080.txt;1984;600000;habitants;"ve en Réunion car aucun emploi nouveau ne peut être créé dans les conditions et dans les circonstances présentes. Ensuite il y a une augmentation brutale de la population. Avec l'arrêt de la mobilité, quelles sont les perspectives ? Avant cinq ans : 600 000 habitants : avant dix ans : 650 000 habitants; dans quinze ans : plus de 700 000 habitants . Compte tenu des possibilités de développement économique, c'est le draine certain, d'autant plus que les équipements d'Etat seront insuffisants et qu"
8_cri_1986-1987-ordinaire1_085.txt;1986;600000;habitants;a reprise de la mobilité officielle. J'évoquais récemment l'exposition « Réunion an 2000 », qui se tient actuellement à Saint-Denis-de-la-Réunion. On peut y voir un premier graphique qui montre que, sans mobi- lité des Réunionnais, il y aura plus de 600 000 habitants à la Réunion dans quinze ans. Ce nombre n'est supportable ni du point de vue dè la lutte contre le chômage ni quant à la capacité de la métropole à venir en aide à ce département . Il faut donc absolument trouver des emplois en métr
5_cri_1975-1976-ordinaire2_086.txt;1975;574000;personnes;a en aucune façon résolu le problème de la formation dans la mesure où le rapport révèle encore que « entre 1963 et 1973 . la population de jeunes, de quinze à dix-neuf ans, ni scolarisés, ni en activité, ni en apprentissage, est passée de 142 000 à 574 000 personnes soit quatre fois plus en dix ans. C'est donc à la fois votre politique économique et sociale et celle de l'enseignement qui sont en cause. En prévoyant que 35 à 40 p. 100 des jeunes quitteront l'école sans avoir reçu une formation d
8_cri_1986-1987-ordinaire1_090.txt;1986;550000;habitants;iers de signatures déposées hier à la préfecture de la Réunion . Mais l'auteur de ces propos ne savait pas que j'avais lu son propre journal, celui du parti communiste, Témoignage. avant qu'il vous parle lui-même ce soir. Alors que la Réunion compte 550 000 habitants, 12 000 pétitions ont été déposées hier, et lorsqu'on se rappelle qu'il y a plus de 10 000 employés com- munaux dans les communes communistes, on aura vite fait le compte des pétitionnaires. qui ne représentent pas la volonté popula
6_cri_1978-1979-ordinaire1_058.txt;1978;511110;habitants;"pompier est incompatible :nec les fonctions rie maire, de maire• adjoint el. de garde•champétre . Encore, clans c cas, serait-il soit- traitable d 'eneisager la possibilité de dérogations, décidées par les préfets, pour les rnnununes entre 100 :1 et 511110 habitants par exemple. li lui denieede quelle est sa position en ce qui eoneerne le; suggestions qu 'il tient de lui présenter. Réponse. -- L 'incompatibilité entre les t'onctiotts de maire et de sapeur-ponmpier est .justifiée par le fait que"
7_cri_1983-1984-ordinaire2_008.txt;1983;510000;habitants;"dans vingt ans, la population réunionnaise atteindra près de 700 000 habitants ; avec une venue en métropole stabilisée au chiffre de 1981 . elle sera (le l'ordre de 550 000, et si l'on reprend la politique des deux dernières décennies, elle sera de 510 000 habitants . Ces chiffres sont clairs : l'arrêt de la venue en métropole ne peut que mener à une explosion sociale, et sur ce point vous ne répondez pas. La deuxième erreur consiste à dire que la politique du Gouver- nement tend à développer l"
2_cri_1966-1967-ordinaire1_021.txt;1966;500000;habitants;Kourou, la population de la Guyane augmentait très sensiblement, je ne vois pas pourquoi on la dissocierait des Antilles et de la Réunion qui, dans quelques années, pourront approcher, au rythme actuel de leur progression, respectivement 700 .000 et 500.000 habitants. Non, je ne le crois pas. Département d'outre-mer, la Guyane est un département français . Que dis-je ? C'est comme départe- ment d'outre-mer que cette terre, longtemps maudite, s'est transformée au point d 'apparaître maintenant co
4_cri_1970-1971-ordinaire2_007.txt;1970;500000;travailleurs;upérieur au plafond de 1968 qui était de 264 .800. Ainsi, au début de 1971, en appliquant le facteur de correc- tion de 1,65 couramment admis, au moins 215 .000 jeunes, 240 .000 femmes, 55.000 ingénieurs, techniciens et cadres, soit au total plus de 500.000 travailleurs constituent la population disponible à la recherche d'un emploi . Encore faudrait-il ajouter à ce nombre celui, très supérieur, des chômeurs marginaux, des femmes pour la plupart, qui souhaitent accepter un emploi, mais qui n'en
8_cri_1986-1987-ordinaire1_090.txt;1986;500000;Antillais;a Réunion. Quant aa taux de chômage ... M . le président . Vous serait-il possible de conclure, mon- sieur le député 7 M . Michel Debré . . . . il est plus faible pour les originaires d'outre-mer en métropole que dans leur propre département. Si les 500 000 Antillais et le 120 000 Réunionnais qui sont en métropole étaient restés chez eux, comme vous le vouliez, quel serait le taux de chômage aux Antilles et à la Réunion. quelles seraient les conséquences sociales, politiques, psycho- logiques de
6_qst_6-qst-1980-08-25.txt;1980;486275;habitants;"francs ; accroissement de population entre 1974 et 1975 (source I . N. S . E . E . : + 9 600 habitants) 462 francs X 9 600 habi- tants = 4 350 000 francs ; majoration de 10 p . 100 pour tenir compte des coûts spécifiques de la Réunion : 462 francs X 486275 habitants X 10 p- 100 = 22 465 005 francs . Le total du manque à gagner en 1979 est donc de 67279000 francs, soit 138,36 francs par habitant en 1975 ; 2 "" le manque à gagner prévisionnel pour 1980 pourrait s 'éta- blir de la façon suivante : p"
6_qst_6-qst-1980-08-25.txt;1980;486275;habitants;"on 1979-1980) + 3 p . 100 (régularisation 1979), soit par habitant : 3632 ASSEMBLES NATIONALE — QUESTIONS ET REPONSES 25 Août 1980 462 francs X 1,1904 = 549,96 francs ; app -lication théorique à la dotation de la Réunion : 549,96 francs, habitant X 486 275 habitants X 110 p. 100 = 294 174 000 francs ; dotations notifiées effecti- vement : 205 029 000 francs . Le manque à gagner en 1980 est égal à 89 145 000 francs, soit 183,32 francs par habitant en 1975. C 'est pour- quoi il souhaite avoir à c"
6_qst_6-qst-1980-08-25.txt;1980;476675;habitants;"en fonc- tion des considérations susindiquées pourrait s 'établir de la façon suivante (en prenant comme base l 'attribution moyenne de la France entière) : utilisation des mêmes bases qu 'en métropole: 462 francs/habitant — 377,29 francs/habitant x 476 675 habitants = 40 379 000 francs ; accroissement de population entre 1974 et 1975 (source I . N. S . E . E . : + 9 600 habitants) 462 francs X 9 600 habi- tants = 4 350 000 francs ; majoration de 10 p . 100 pour tenir compte des coûts spécifique"
3_cri_1967-1968-ordinaire1_037.txt;1967;469000;habitants;"us peuplée, évolue- rait de la manière -Rivante: De janvier 1966 à janvier 1971, la population de la Guade- loupe passerait de 319 .000 à 366.000 habitants ; celle de la Martinique cV' 325 .000 à 365 .000 habitants ; celle de la Réunion de 403.000 à 469.000 habitants. Au cours du IV' Plan, c'est-à-dire de 1962 à 1965, la produc- tion intérieure brute des départements d'outre -mer, évaluée à prix constants, à marqué une progression g1'baie moyenne de 32 p. 100, ce qui correspond à tin taux annuel"
6_cri_1979-1980-ordinaire2_067.txt;1979;450000;personnes;t l'expression « parait-il », car les renseignements sta- tistiques dont nous disposons ne brillent pas par leur exactitude. Je souhaite que l'Institut national de la statistique et des études économiques fasse un effort sérieux dans ce domaine. Ces 450000 personnes, tout en étant remarquablement inté- grées dans l'ensemble français auquel elles appartiennent depuis plusieurs siècles, conservent cependant quelques traits originaux qui incitent à mieux les connaitre, à mieux cerner leurs problè-
5_cri_1975-1976-ordinaire1_058.txt;1975;419000;habitants;économie d'autoconsommation. Nous en mourrons.. de ce sous-peuplement. D'autre part, quand on fait la comparaison avec la Guyane anglaise . l'actuelle Guyana, avec ses 754 000 habitants, ou avec la Guyane hollandaise, devenue le Surinam, peuplée de 419 000 habitants. on comprend la nécessité d'un peuplement pour le développement économique de la Guyane française. Vous avez parlé, monsieur le secrétaire d'Etat, de la création de 10 000 emplois en cinq ans . Eeidemment, pareille déclaration a pro
3_cri_1967-1968-ordinaire1_037.txt;1967;400000;habitants;in, l 'implantation d 'un centre dans la partie litto rale de l'académie est à l'étude avec la création notamment d'un département tertiaire. 3344 . — M. Delelis demande à M . le ministre de l 'éducation natio- nale si . en raison de son importance '400.000 habitants dont 170 .000 enfants et jeunes gens, et des problèmes qui se posent sur le plan de son avenir économique, l 'arrondissement de Lens est appelé à connaître la création de classes d 'enseignement supérieur et de classes de préparatio
6_cri_1978-1979-ordinaire1_050.txt;1978;400000;habitants;égion que je représente, mais aussi pour la France tout entière. Lors du débat sur les liaisons aériennes qui s'est déroulé tout à l'heure, je ne suis pas intervenu . Je tiens toutefois à apporter quelques précisions qui méritent réflexion. Aves ses 400 000 habitants, l'agglomération de Toulon est la septième de France . Pourtant, malgré la proximité de deux grands pôles urbains, avec lesquels nous entretenons, d'ailleurs, d'excellentes relations, elle n'a avec Paris qu'une seule liaison quotidi
6_cri_1979-1980-ordinaire1_032.txt;1979;400000;habitants;donner ici quelques précisions sur les dessertes avec Paris. Je n'évoquerai pas les efforts financiers que le département a dû consentir pour attirer Air Inter dans la onzième ville de France et clans la septième agglomération de France, qui compte 400 000 habitants, c'est-à-dire presque autant que Bordeaux. Je ne parlerai que des résultats récents. Cet aéroport a enregistré 975 vols 'foulon--Paris, pour 69 095 passagers, en 1977. et 1 186 vols pour 89 920 passagers en 1978, soit une augmentati
7_cri_1981-1982-ordinaire1_070.txt;1981;400000;personnes;"x y ont été conduits par l'intermédiaire du BUMIDOM, société d'Etat créée en 1963 . 3208 ASSEMBLEE NATIONALE — 2' SEANCE DU 5 NOVEMBRE 1981 Favoriser Pians ; mulon ;!'environ 250 000 personnes, afin que ce territoire attei^ne au total le chiffre de 400000 personnes, tel était l'objectif essentiel de ce plan, qui mettait en oeuvre une colonisation de peuplement à des fins politiques très claires. Il s'agissait de rendre minoritaires les Kanaks pour étouffer leurs revendications. Monsieur le secr"
3_cri_1967-1968-ordinaire1_037.txt;1967;366000;habitants;"des trois départements d'outre-mer dans lesquels se pose un problème démographique, la Guyane étant nettement sous peuplée, évolue- rait de la manière -Rivante: De janvier 1966 à janvier 1971, la population de la Guade- loupe passerait de 319 .000 à 366.000 habitants ; celle de la Martinique cV' 325 .000 à 365 .000 habitants ; celle de la Réunion de 403.000 à 469.000 habitants. Au cours du IV' Plan, c'est-à-dire de 1962 à 1965, la produc- tion intérieure brute des départements d'outre -mer, éval"
4_cri_1971-1972-ordinaire1_024.txt;1971;333000;habitants;s, dont une dans l'île enchanteresse de Saint-Martin mités agricoles, moduler la courbe des prix et des besoins du qui compte à peine 5.000 habitants, et la Martinique une seule, marché, dans le cadre de la politique anti-inflationniste du Gou- avec 333.000 habitants. vernement. Bien avant le vote de la loi Neuwirth, j'ai dénoncé la démo- Mais il y a une limite de compression que l'on ne saurait graphie et le sous-emploi comme les plus grands périls dans les dépasser sans exposer la production a
