fichier;annee;nombre;type;contexte
6_cri_1978-1979-ordinaire1_056.txt;1978;800;lits;laces de camping-caravaning. Or, selon l'estimation faite à partir des cré- dits inscrits dans le projet de budget, ne seront créés cette année que 4 800 lits en villages de vacances et 50 000 places de camping caravaning . C'est trop peul On constate d'ailleurs que les régions choisies pour les amé
5_cri_1975-1976-ordinaire1_057.txt;1975;793;chambres;meure d'un niveau convenable en dépit du fort accroissement de la capacité d'accueil. Cette dernière est tout à fait spectaculaire. Il y avait donc 1 793 chambres à la Guadeloupe à la fin de 1974. Il y en aura 3 175 à la fin de l'année. L'évolution est la même à la Martinique, où l'on compte aujourd
2_cri_1964-1965-ordinaire1_021.txt;1964;700;chambres;hôtels. Selon les prévisions du IV° plan — 1962-1965 — l'équipement hôtelier antillais devrait atteindre, à la fin de l'année 1965, une capacité de 1.700 chambres, à concurrence de 1.000 chambres en Guadeloupe et de 700 chambres en Martinique. Au début de l'année 1963, un hôtel de classe internation
2_cri_1964-1965-ordinaire1_021.txt;1964;700;chambres;t hôtelier antillais devrait atteindre, à la fin de l'année 1965, une capacité de 1.700 chambres, à concurrence de 1.000 chambres en Guadeloupe et de 700 chambres en Martinique. Au début de l'année 1963, un hôtel de classe internationale ouvrait ses portes en Guadeloupe, et un autre, de dimensions p
2_cri_1964-1965-ordinaire1_021.txt;1964;700;chambres;optées, de règle- ments établis, de rapports échangés, de missions d'études accom- plies, de crédits votés et pour quel résultat ? Sur une moyenne de 700 chambres pour la Martinique et de 1.000 chambres pour la Guadeloupe prévues pour la fin de 1965, 280 seulement ont été réalisées pour l'ensemble d
8_cri_1986-1987-ordinaire1_087.txt;1986;700;places;faibles . J'ai sous les yeux les chiffres, objectifs, de l'observatoire de santé de la région IIe-de-France : il manque, dans la région parisienne, 5 700 places d'hébergement pour personnes âgées dépen- dantes, et 5 000 invalides sont hébergés dans des hôpitaux - ce qui est une très mauvaise politiq
3_cri_1967-1968-ordinaire1_037.txt;1967;680;logements;ices de la préfecture n 'a pu être accepté en raison de la trop forte densité des logements prévus. t in nouveau projet, qui comporte un programme de 680 logements, dont 426 réservés aux fonctionnaires civils et militaires des armées et 254 logements Il . L. M., ainsi que différents services publics
6_cri_1979-1980-ordinaire1_113.txt;1979;650;chambres;au cours des cinq dernières années, en particulier aux Antilles, où la capacité hôtelière a doublé. Ainsi la Guadeloupe, qui disposait, en 1973, de 1 650 chambres, en compte 3 450 en 1978. On le constate : les départements d'outre-mer se développent rapidement, ainsi que vous l'avez vous-même rappel
4_cri_1971-1972-ordinaire1_067.txt;1971;600;chambres;"II appa- rait donc indispensable que les programmes refusés soient repris en priorité absolue dans le VI. Plan et que soient inscrites dès 1971 le .; 600 chambres qui devaient constituer à Talence le village n"" 6 dont l 'emplacement est depuis longtemps prévu dans le plan de masse du domaine univers"
5_cri_1973-1974-ordinaire1_014.txt;1973;600;lits;d 'avenir de l 'hôpital Emile-Roux, à Limeil-Brévannes (Val-de-Marne), afin de prendre les mesures en conséquence. Cet établissement, qui possède 1 .600 lits pour adultes, est aujourd'hui voué, compte tenu de sa vétusté et des conditions d 'hospitalisation, à recevoir exclusivement les malades chro
5_cri_1974-1975-ordinaire1_047.txt;1974;600;chambres;"uristes ; 1 438 chambres étaient en service à la fin de 1973 . I1 existe par ailleurs plusieurs projets de création d'hôtels pour un total de plus de 600 chambres. Votre commission de la production et des échanges soucieuse du développement économique de la Polynésie, a adopté une observation — dont"
5_qst_5-qst-1974-04-27.txt;1974;600;places;"cycle au cours de la présente légis- lature. Par ailleurs, la construction à Brétigny-sur- Orge d'un deuxième collège d 'enseignement secte.aaire, de 600 places, a été proposée par les autorité ;:=:i—, ,iques_ dans le -cadre des études relatives à la révision de la carte scolaire de : établissements"
5_cri_1977-1978-ordinaire1_048.txt;1977;565;logements;t leurs ressources. Elles sont aggravées à Boissy-Saint-Léger du fait d'une urbanisation accélérée, avec notamment la réalisation d'une Z. A. C. de 2 565 logements, qui entraîne une croissance très rapide de la population et la nécessité de réaliser à grand frais de nombreux équipements collectifs .
4_cri_1970-1971-ordinaire1_023.txt;1970;555;chambres;e vêtements, n'ont pas été développées. Quant à l'hôtellerie, malgré les gros efforts d'investissements accomplis depuis dix ans — de 1961 à 1969, 1 .555 chambres nouvelles ont été mises en service — la part du tourisme antil- lais dans l'ensemble du tourisme aux Caraïbes, avec 9 .000 tou- ristes en
5_cri_1976-1977-ordinaire1_061.txt;1976;550;logements;eur et la ville de Paris. Dans la capitale, 1 800 logements H . L. M. — soit libérés, soit en cours de construction — seront fournis par la ville. Et 550 logements seront construits en proche banlieue. L'ensemble de ces opérations . y compris celles qui sont directement entre- prises par le ministèr
3_cri_1967-1968-ordinaire1_037.txt;1967;543;lits;"ujours capable de le replacer dans un délai de quatre à cinq jours. En ce qui concerne le logement, le l',t?IIIDO .M dispose en transit de 220 lits ; 543 lits sont à sa disposition dans des foyers de jeunes travailleurs. Il s'agit là du placement de célibataires. En 1965, 86 logements 11 .1 .. M. av"
2_cri_1964-1965-ordinaire1_021.txt;1964;500;logements;ux départements. Ce doit être le rôle des sociétés de développement régional. En ce qui concerne la construction, on peut estimer que le chiffre de 6.500 logements annuels fixé par le Plan sera atteint, mais il ne peut s'agir là que d'un objectif minimum, compte tenu de la médiocrité de l'habitat et
2_cri_1964-1965-ordinaire1_021.txt;1964;500;chambres;nsions plus modestes, en Martinique. Le début de l'année 1964 a été marqué par l 'ouverture en Guadeloupe d'un deuxième hôtel de grand standing, soit 500 chambres, ce qui est bien peu si l'on songe que 25 .000 pas- sagers en croisière ont visité la Martinique. L'écart reste encore important entre ce
3_cri_1967-1968-ordinaire1_037.txt;1967;500;chambres;ent des délais supplémen- taires dans la réalisation des projets hôteliers. Les actions ainsi menées portent leurs fruits : au cours de l'année 1967, 500 chambres, réparties en huit hôtels ont été construites ou sont en construction à la Guadeloupe et à Saint- Martin. Des projets, très avancés, susc
3_cri_1967-1968-ordinaire1_037.txt;1967;500;logements;s-officiers et du petit personnel civil du ministère des aracées. Il lui demande, en conséquence, les raisons pour lesquelles un programme de prés de 500 logements se trouve paralysé par le retard apporté à la mise en valeur des sept hectares entourant le fort de Romainville et quelles mesures il co
4_cri_1969-1970-ordinaire1_033.txt;1969;500;places;es tribunaux pour enfants. Encore ces chiffres ne représentent-ils pas la réalité des besoins. Grâce aux constructions réalisées depuis 1962, c'est 3.500 places qui existent à l'heure actuelle, et 1 .384 places nouvelles sont financées et en cours de réalisation, ce qui fait qu'à la fin du V' Plan l
4_cri_1972-1973-ordinaire1_063.txt;1972;500;places;es supérieures 3 et 4. En 1972, pour le concours, interne ou spécial, de contrôleur, 800 places sont offertes aux agents d 'exploitation masculins et 500 places aux agents féminins, alors que les femmes repré- sentent 77 p. 100 des agents d 'exploitation. On pourrait citer l'exemple d'autres concour
5_cri_1975-1976-ordinaire1_038.txt;1975;500;logements;l'enseignement pré-élémentaire dans le quartier des Portes-Ferrées à Limoges . Dans ce quartier nouveau qui comporte un ensemble H. L. M. de plus de 500 logements existe une école maternelle qui, au début comportait quatre classes et qui, deux ans après (à la rentrée 1975) en compte sis, dont une e
6_cri_1978-1979-ordinaire1_050.txt;1978;500;places;. En ce qui concerne les tarifs promotionnels, Air France mettra en ligne, dès l'été pro- chain, sur Paris -New York, deux Boeing 747 offrant chacun 500 places, alors qu'actuellement ils ne comportent que 340 places. En diminuant ainsi le prix de revieat du transport, cette mesure devrait permettre
